,0,1,2,3,4,5
0,40,28,"45,0",03,22,"40,0"
1,40,32,"25,8",03,38,"42,7"
2,40,20,"30,9",03,50,"01,4"
3,40,35,"59,1",03,30,"11,8"
4,40,01,"59,8",03,35,"29,1"
5,40,18,"02,9",03,27,"32,0"
6,40,54,"32,6",03,28,"04,4"
7,40,39,"52,7",03,46,"26,0"
8,40,37,"59,2",04,00,"51,1"
9,40,25,"49,7",03,32,"32,3"
10,40,16,"53,5",03,48,"03,4"
11,40,18,"52,5",03,43,"00,7"
12,40,46,"50,3",03,42,"07,8"
13,40,20,"23,2",03,45,"16,3"
14,40,26,"46,3",03,52,"08,4"
15,40,19,"27,2",03,52,"36,3"
16,40,17,"15,3",03,13,"16,0"
17,40,49,"30,4",03,57,"40,3"
18,40,21,"35,1",03,32,"34,3"
19,40,22,"03,9",04,23,"53,2"
20,40,26,"58,4",03,28,"39,5"
21,40,11,"06,9",03,40,"49,0"
22,40,14,"55,4",04,16,"32,4"
23,40,10,"02,0",03,16,"36,0"
