,Latitud,Longitud
0,40.47916667,-3.37777778
1,40.54050000,-3.64519444
2,40.34191667,-3.83372222
3,40.59975000,-3.50327778
4,40.03327778,-3.59141667
5,40.30080556,-3.45888889
6,40.90905556,-3.46788889
7,40.66463889,-3.77388889
8,40.63311111,-4.01419444
9,40.43047222,-3.54230556
10,40.28152778,-3.80094444
11,40.31458333,-3.71686111
12,40.78063889,-3.70216667
13,40.33977778,-3.75452778
14,40.56194444,-3.86900000
15,40.32422222,-3.87675000
16,40.28758333,-3.22111111
17,40.82511111,-3.96119444
18,40.35975000,-3.54286111
19,40.36775000,-4.39811111
20,40.44955556,-3.47763889
21,40.18525000,-3.68027778
22,40.24872222,-4.27566667
23,40.16722222,-3.27666667
