CÓDIGO NACIONAL, CÓDIGO MUNICIPIO, NOMBRE ESTACIÓN,
 28005002, 5, ALCALÁ DE HENARES,
 28006004, 6, ALCOBENDAS,
 28007004, 7, ALCORCÓN,
 28009001, 9, ALGETE,
 28013002, 13, ARANJUEZ,
 28014002, 14, ARGANDA DEL REY,
 28016001, 16, EL ATAZAR,
 28045002, 45, COLMENAR VIEJO,
 28047002, 47, COLLADO VILLALBA, 
 28049003, 49, COSLADA,
 28058004, 58, FUENLABRADA,
 28065014, 65, GETAFE,
 28067001, 67, GUADALIX DE LA SIERRA,
 28074007, 74, LEGANÉS,
 28080003, 80, MAJADAHONDA,
 28092005, 92, MÓSTOLES,
 28102001, 102, ORUSCO DE TAJUÑA,
 28120001, 120, PUERTO DE COTOS,
 28123002, 123, RIVAS-VACIAMADRID,
 28133002, 133, SAN MARTÍN DE VALDEIGLESIAS,
 28148004, 148, TORREJÓN DE ARDOZ,
 28161001, 161, VALDEMORO,
 28171001, 171, VILLA DEL PRADO,
 28180001, 180, VILLAREJO DE SALVANÉS,
